City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
141,Dolores,AR,-36.3132,-57.6792,67.28,79,70,7.9,broken clouds
142,Nuzvid,IN,16.7833,80.85,68.85,89,58,3.0,light rain
143,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.76,92,88,0.92,light rain
144,Cockburn Town,TC,21.4612,-71.1419,77.23,75,30,17.67,scattered clouds
145,Vardo,NO,70.3705,31.1107,27.84,62,100,21.56,light snow
146,Wilmington,US,34.2257,-77.9447,53.85,47,0,6.91,clear sky
147,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,70,75,24.16,broken clouds
148,Atar,MR,20.5169,-13.0499,70.38,19,0,12.08,clear sky
149,Shahr-E Babak,IR,30.1165,55.1186,48.97,49,6,7.61,clear sky
150,Salalah,OM,17.0151,54.0924,73.49,64,20,4.61,few clouds
151,Berbera,SO,10.4396,45.0143,73.49,74,19,5.97,few clouds
152,Mumford,GH,5.2618,-0.759,78.87,87,92,8.75,overcast clouds
153,Kissamos,GR,35.4939,23.6569,53.91,66,97,6.04,overcast clouds
154,Qeshm,IR,26.9581,56.2719,67.89,70,1,5.99,clear sky
155,Sokoto,NG,13.0609,5.239,70.74,12,3,12.1,clear sky
156,Maua,BR,-23.6678,-46.4614,71.1,85,95,2.71,overcast clouds
157,Dingle,PH,10.9995,122.6711,79.7,79,100,8.75,overcast clouds
158,Andenes,NO,69.3143,16.1194,26.58,54,100,25.32,overcast clouds
159,Cururupu,BR,-1.8283,-44.8683,76.33,89,100,1.95,light rain
160,Nouadhibou,MR,20.931,-17.0347,64.38,77,0,25.32,clear sky
161,Paratebueno,CO,4.3758,-73.2155,80.56,47,36,3.94,scattered clouds
162,Carupano,VE,10.6678,-63.2585,74.7,85,39,9.64,scattered clouds
163,Calbuco,CL,-41.768,-73.1273,57.36,80,76,6.62,broken clouds
164,Cordoba,AR,-31.4135,-64.1811,71.76,84,0,4.61,clear sky
165,Jalu,LY,29.0331,21.5482,57.13,56,52,4.54,broken clouds
166,Kidal,ML,18.4411,1.4078,72.84,13,4,12.26,clear sky
167,Castro,BR,-24.7911,-50.0119,62.31,85,46,3.4,scattered clouds
168,Zaykovo,RU,57.5613,62.7568,11.19,87,47,8.68,scattered clouds
169,Zyryanskoye,RU,56.8306,86.6258,1.45,98,44,6.44,scattered clouds
170,Ciro Marina,IT,39.3732,17.126,58.86,78,100,2.75,overcast clouds
171,Rawson,AR,-43.3002,-65.1023,63.23,86,82,24.85,broken clouds
172,Novouzensk,RU,50.4592,48.1431,29.17,98,91,12.86,overcast clouds
173,Ribeira Grande,PT,38.5167,-28.7,55.24,57,50,5.19,scattered clouds
174,Bara,NG,10.3744,10.7288,71.46,22,52,12.93,broken clouds
175,Santa Rosa,PH,14.3122,121.1114,82.85,72,100,9.17,overcast clouds
176,Goderich,CA,43.7501,-81.7165,21.9,58,100,12.66,overcast clouds
177,Kindu,CD,-2.95,25.95,70.83,94,100,2.66,overcast clouds
178,Rocha,UY,-34.4833,-54.3333,65.44,92,58,5.32,broken clouds
179,Santo Angelo,BR,-28.2992,-54.2631,82.72,28,0,2.3,clear sky
180,Tessalit,ML,20.1986,1.0114,73.98,13,83,14.34,broken clouds
181,Ariquemes,BR,-9.9133,-63.0408,71.76,99,100,4.07,moderate rain
182,Gazanjyk,TM,39.2446,55.5154,49.96,44,81,1.21,broken clouds
183,Askarovo,RU,53.3372,58.5089,-8.45,84,80,2.24,mist
184,Jumla,NP,29.2747,82.1838,30.4,90,78,3.33,broken clouds
185,Bandarbeyla,SO,9.4942,50.8122,74.62,73,47,16.49,scattered clouds
186,Bermeo,ES,43.4209,-2.7215,45.09,79,26,8.25,scattered clouds
187,Adrar,MR,20.5022,-10.0711,68.0,21,1,11.27,clear sky
188,Namwala,ZM,-15.7504,26.4384,63.52,97,29,1.57,scattered clouds
189,Bereslavka,RU,48.6254,44.0449,36.37,79,99,16.31,overcast clouds
190,Hofn,IS,64.2539,-15.2082,26.69,90,100,25.1,light snow
191,Beloha,MG,-25.1667,45.05,71.65,82,0,10.74,clear sky
192,Guatire,VE,10.4762,-66.5427,77.5,93,72,3.47,broken clouds
193,Farsund,NO,58.0948,6.8047,35.06,100,11,12.26,few clouds
194,Zschopau,DE,50.75,13.0667,40.24,77,75,16.73,light rain
195,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.53,97,62,1.88,broken clouds
196,Urumqi,CN,43.801,87.6005,-3.05,85,75,2.24,mist
197,Guarapari,BR,-20.6667,-40.4975,78.69,94,100,7.96,moderate rain
198,Mari,BR,-7.06,-35.3194,79.61,88,22,5.64,few clouds
199,Paso De Carrasco,UY,-34.8603,-56.0522,71.74,78,0,12.66,clear sky
200,Mao,ES,39.8885,4.2658,54.16,58,0,19.57,clear sky
201,Saint-Louis,SN,16.3333,-15.0,78.44,7,35,10.87,scattered clouds
202,Taltal,CL,-25.4,-70.4833,68.56,82,24,5.17,few clouds
203,Lagoa,PT,39.05,-27.9833,55.02,58,49,7.11,scattered clouds
204,Kondol,RU,52.8189,45.058,32.27,97,100,19.44,light snow
205,Mahebourg,MU,-20.4081,57.7,80.89,89,75,26.46,light intensity shower rain
206,Azangaro,PE,-14.9167,-70.2167,44.8,74,92,4.99,overcast clouds
207,Bilma,NE,18.6853,12.9164,62.89,20,61,7.78,broken clouds
208,Thompson,CA,55.7435,-97.8558,-12.84,70,40,6.91,scattered clouds
209,Namibe,AO,-15.1961,12.1522,76.32,75,100,6.53,overcast clouds
210,Zarinsk,RU,53.7074,84.9493,-12.23,100,89,4.21,overcast clouds
211,Azare,NG,11.6765,10.1948,65.39,19,31,9.53,scattered clouds
212,Minsk,BY,53.9,27.5667,35.35,76,95,22.7,overcast clouds
213,Nsanje,MW,-16.92,35.262,73.18,99,100,3.96,moderate rain
214,Nioro,GM,13.35,-15.75,78.21,17,18,11.65,few clouds
215,Itarantim,BR,-15.6597,-40.0656,74.14,76,92,4.29,overcast clouds
216,Port Blair,IN,11.6667,92.75,69.84,94,40,2.3,mist
217,Galle,LK,6.0367,80.217,77.22,82,58,1.28,broken clouds
218,Vestmannaeyjar,IS,63.4427,-20.2734,34.2,77,100,48.41,light snow
219,Ilulissat,GL,69.2167,-51.1,8.62,78,75,9.22,light snow
220,Male,MV,4.1748,73.5089,81.95,70,91,11.61,overcast clouds
221,Ballina,AU,-28.8667,153.5667,77.18,81,75,6.91,broken clouds
222,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,83.34,64,71,1.07,broken clouds
223,Panama City,PA,8.9936,-79.5197,82.06,62,20,18.41,few clouds
224,Kamenskiy,RU,50.8855,45.488,30.94,90,100,15.5,snow
225,Awjilah,LY,29.1081,21.2869,57.25,57,57,5.21,broken clouds
226,Azuaga,ES,38.2667,-5.6833,45.97,81,25,7.43,scattered clouds
227,Natal,BR,-5.795,-35.2094,79.45,94,75,6.91,broken clouds
228,Konstancin-Jeziorna,PL,52.0938,21.1176,41.14,68,0,13.8,clear sky
229,Axim,GH,4.8699,-2.2405,79.63,86,98,6.62,overcast clouds
230,Nuuk,GL,64.1835,-51.7216,3.81,78,100,17.27,overcast clouds
231,Kumo,NG,10.0447,11.2122,72.09,22,65,13.76,broken clouds
232,Mastic Beach,US,40.7668,-72.8521,31.01,42,0,23.02,clear sky
233,Khanapur,IN,15.6333,74.5167,60.42,56,94,1.23,overcast clouds
234,Camacha,PT,33.0833,-16.3333,56.62,67,40,24.16,scattered clouds
235,Sabzevar,IR,36.2126,57.6819,50.02,39,99,3.98,overcast clouds
236,Hun,LY,29.1268,15.9477,57.43,26,49,5.84,scattered clouds
237,Karatau,KZ,43.1667,70.4667,37.0,42,99,4.97,overcast clouds
238,Laguna,US,38.421,-121.4238,74.64,33,0,3.44,clear sky
239,Svetlyy,RU,54.675,20.1347,39.25,78,73,19.77,broken clouds
240,San Andres,CO,12.5847,-81.7006,80.62,69,20,16.11,few clouds
241,Beyneu,KZ,45.3167,55.2,35.28,82,7,7.52,clear sky
242,Verdun,FR,49.25,5.3333,45.09,84,100,20.78,overcast clouds
